sku,name,sale_price,brand,other_names,description,sold_in_quantity,positions,applications,replaces,hazmat,install_time,may_be_required,image_1_url,image_2_url,image_3_url,image_4_url,image_5_url,image_6_url,image_7_url,image_8_url,image_9_url,image_10_url,image_11_url,image_12_url,image_13_url,image_14_url,image_15_url,image_16_url,image_17_url,image_18_url,image_19_url,image_20_url,image_21_url,image_22_url,alto,largo,ancho,volumen,peso,listo,otros_nombres,descripcion,sat_id,category,alias,nombre,handle
PT93235160,"Assist Steps, Tube Steps, Chrome - Toyota (PT932-35160)",414.40,Toyota,Running Board,"Skid resistant Polypropylene heavy-duty step pads, tested to withstand the use as well as the elements.   3” Stainless steel tube which has been Chromed per TMS specifications to be chip and rust resistant   Laser cut brackets to ensure fit and appearance, then Powder coated to protect against the elements.  No drill installationPrecise fit for optimal appearanceDesigned to match the rugged trimMeets all Toyota-required   Load, Cyclic, Environmental and Durability testing.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/990653c6e7ad8a2278a3dc156023cc33.webp,https://s3.amazonaws.com/rp-part-images/assets/757681b00a27c74b4828641108f6f0a3.webp,https://s3.amazonaws.com/rp-part-images/assets/1480f2510fbfb4a1b8d126b966876475.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15,180,15,40500,12,null,Estribo,"Almohadillas antideslizantes de polipropileno resistentes y probadas para soportar el uso y los elementos. Tubo de acero inoxidable de 3"" cromado según las especificaciones TMS para resistir astilladuras y óxido. Soportes cortados con láser para garantizar ajuste y apariencia, recubiertos en polvo para protección contra los elementos. Instalación sin perforaciones.",null,null,null,"Pasos de ayuda, tubos cromados",assist-steps-tube-steps-chrome-toyota-pt932-35160-pt93235160
PT93848200,"Assist Steps, Running Boards - Toyota (PT938-48200)",392.00,Toyota,Running Board,"Help provide easier access into the interior of your HighlanderConstructed of black, durable material with stainless steel step pads, Running Boards provide an integrated, low profile look that complements Highlander’s styling.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/8876a64af22ad133e97fe2a9376d5fda.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12,150,15,27000,8.5,null,Running Board,"Ayuda a proporcionar un acceso más fácil al interior de tu Highlander. Construido con material negro duradero y almohadillas de acero inoxidable, las barras de acceso proporcionan un aspecto integrado y de bajo perfil que complementa el estilo del Highlander.",null,null,null,"Pasos de ayuda, estribos",assist-steps-running-boards-toyota-pt938-48200-pt93848200
PT39234220,Bed Extender - Toyota (PT392-34220),285.60,Toyota,Tun Bed Extender,"Truck bed not big enough? No problem. With the tailgate down, our bed extender increases bed length by two feet to fit your longboards and other bulky items. Or you can leave the tailgate up and use it to secure smaller objects.• Powder coat finish enhances appearance and durability• Taillights remain visible when in use, in compliance with DOT lighting requirements• Bed extender cannot be removed when tailgate is up and locked• Angle-release mounting brackets enable easy installation or removal• Adjustable strap latches ensure the bed extender is secured to the tailgate when down.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/d95115a0c28dad508d9f579c0997e322.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50,120,5,30000,8,null,Extensor de caja Tundra,El extensor de cama de camión añade dos pies de longitud al abrir la compuerta trasera para acomodar objetos largos como tablas de surf. También puede asegurar objetos más pequeños con la compuerta cerrada. Fabricado con un acabado de recubrimiento en polvo para mayor durabilidad.,null,null,null,Extensor de caja,bed-extender-toyota-pt392-34220-pt39234220
PT58035050SB,"Bed Mat, Short Bed - Toyota (PT580-35050-SB)",130.90,Toyota,Truck Bed Mat,"Minimize damage to your truck bed and cargo with this heavyweight bed mat. It?s made from a high-strength, cord-enhanced rubber compound that can withstand abuse without fading, rusting, cracking or breaking.\
 Pebble Finish minimizes Shifting of cargo\
 Raised, angled ribs ease cargo loading/unloading\
 Knobby underside promotes aeRation and Drainage that keeps the truck bed dry to help preVent rust and mildew\
\
          \
          Fits Tacoma  BED Type: Short Logo: Tacoma  Cargo and load capacity limited by weight and distribution. Always properly secure all items and cargo area.\
          \
          Reduce cargo shifting and protect your truck bed with a durable, rubber bed mat. Designed to resist cracking or breaking features a molded Tacoma logo.Custom-molded, heavyweight bed mat helps protect truck and cargoProvides superior abrasion resistance and tear strength for durable truck bed protectionFeatures stylish pebble finish to help restrict shifting of cargo and raised, angled ribs to facilitate cargo loading/unloadingKnobby underside promotes aeration and drainage to help keep truck bed dry, helping prevent mildewManufactured from a high-strength, cord-enhanced rubber compoundTested to help safeguard against fading, cracking or breaking—even in extreme temperatures.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/4668b2bf9295345a357e80af3afbe6ca.webp,https://s3.amazonaws.com/rp-part-images/assets/27db30ae9ecab86811e10c25f2c7f903.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,150,100,30000,12,null,Tapete de caja de camioneta,"La alfombrilla de cama de goma duradera protege la caja del camión contra daños y minimiza el desplazamiento de la carga. Fabricada con un compuesto de caucho de alta resistencia, es resistente al desgaste y está diseñada para soportar temperaturas extremas.",null,null,null,"Tapete de caja, cama corta",bed-mat-short-bed-toyota-pt580-35050-sb-pt58035050sb
PT7470821B,Sien Rba - Toyota (PT747-0821B),null,Toyota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,120,5,1200,0.5,null,null,null,null,null,null,Aplique para defensa trasera Sienna,sien-rba-toyota-pt747-0821b-pt7470821b
PT76735121,"Assist Steps, Tube Steps, Short - Toyota (PT767-35121)",565.60,Toyota,Running Board,"Durable five-inch oval tube steps add style and functionality to your Tacoma. Constructed of chip- and rust-resistant aluminum with a chrome or black powder coat finish, the tube steps provide dual molded skid-resistant step pads on both sides of the Tacoma—providing a sturdy lower surface for easy entry and exit of the vehicle. Simple, no-drill installation to your vehicle’s existing mounting locations.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/3de25e7526296aa0285b56042f19b9af.webp,https://s3.amazonaws.com/rp-part-images/assets/5c5e9d3bbf93d3573379f9da3c7efd4b.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,120,15,18000,6.5,null,Estribo,"Los escalones tubulares ovalados de 5 pulgadas añaden estilo y funcionalidad al Tacoma. Su diseño ligero y resistente a la corrosión permite una instalación sin perforaciones, brindando acceso seguro al vehículo.",null,null,null,"Pasos laterales de ayuda, tubo corto",assist-steps-tube-steps-short-toyota-pt767-35121-pt76735121
PT76735240,Bed Cargo Divider - Toyota (PT767-35240),336.00,Toyota,Taco Cgdvdr,"? Slides along the Tacoma's deck rail system to create the space to fit your needs? Made of lightweight, corrosion-resistant, black-powder-coated aluminum with bold Tacoma logo.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/015fc8e973b5ff3f01d4774dbfb29477.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15,120,15,27000,7,null,Tacoma divisor de carga,Se desliza por el sistema de rieles de la Tacoma para crear espacios personalizados. Fabricado en aluminio resistente a la corrosión con recubrimiento en polvo negro y logotipo Tacoma.,null,null,null,Divisor de carga de plataforma,bed-cargo-divider-toyota-pt767-35240-pt76735240
PT90708210DC,Sien Ppf Door Cups - Toyota (PT907-08210-DC),39.16,Toyota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,10,10,200,0.2,null,null,null,null,null,null,"Película protectora para manijas, Sienna",sien-ppf-door-cups-toyota-pt907-08210-dc-pt90708210dc
PT39235920,Bedstepandreg - Toyota (PT392-35920),302.40,Toyota,Taco Bed Step,"Get a leg up when loading or unloading the cargo in your truck’s bed with this BedStep®. It bolts on with no drilling required and tucks neatly under the rear bumper when not in use.• Works with tailgate up or down• Hands-free operation. adjusts easily. Lightweight, high-strength aluminum die-cast construction features a reinforced nylon step pad with ribbed, nonskid stepping surface• 300-lb. load capacity• Weather-resistant, black-anodized and Teflon® powder coat finish for long-term durability• Leaves hitch receiver free for towing.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/73816854c14baa01aa90b1e28d6dbd81.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25,35,15,13125,4.5,null,Escalón de caja Tacoma,Facilita la carga o descarga de la caja de tu camión con este escalón trasero. Se instala sin necesidad de perforar y se pliega de manera discreta bajo el parachoques trasero cuando no se utiliza. Construcción ligera de aluminio con superficie antideslizante.,null,null,null,Escalón de caja,bedstepandreg-toyota-pt392-35920-pt39235920
PT998342212F,Trd Wheel Center Cap - Toyota (PT998-34221-2F),10.60,Toyota,Center Cap Tun Seq Trd,Flat Black Center Cap Button Cap Style.,null,null,null,pt280342212f,null,null,null,https://cdn-product-images.revolutionparts.io/assets/51451293edab0a7802d1232b380992d3.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12,12,8,1152,0.3,null,Tapón central TRD Tacoma/Sequoia,Tapón central de rin negro mate (tipo botón).,null,Tire and Wheel,null,Tapón central de rin TRD,pt998342212f
PT83K0821004,"Body Side Molding, Cypress - Toyota (PT83K-08210-04)",173.41,Toyota,Sien Bsm 6X5 Green,"Body side moldings help protect against careless door swings, runaway shopping carts, and other parking lot mishaps while adding a little extra exterior style.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/6915c62b5bf733475e314f266edc9e83.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,120,5,1200,0.5,null,Sienna moldura lateral 6X5 verde,Las molduras laterales protegen contra golpes accidentales y están pintadas para combinar con el acabado exterior del vehículo.,null,null,null,"Molduras laterales, Cypress (verde)",body-side-molding-cypress-toyota-pt83k-08210-04-pt83k0821004
PT29A3524006,Body Side Molding - Bronze Oxide - Toyota (PT29A-35240-06),173.41,Toyota,Taco Bsm 6X1 Bronze,"Body side moldings help protect against careless door swings, runaway shopping carts and other parking lot mishaps while adding a little extra exterior style. Color-matched to the exterior paint finish.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/6c15ede158023a26e3f111f21a694493.webp,https://s3.amazonaws.com/rp-part-images/assets/10b519a670978f3c607070f60f829e44.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,120,5,6000,1.2,null,Tacoma moldura lateral 6X1 bronce,"Los molduras laterales del cuerpo ayudan a proteger contra golpes de puertas, carritos de supermercado y otros percances, mientras añaden un toque de estilo extra. Están pintadas a juego con el color exterior del vehículo.",null,null,null,"Moldura lateral, óxido de bronce",body-side-molding-bronze-oxide-toyota-pt29a-35240-06-pt29a3524006
PT83K0821007,"Body Side Molding, Celestial Silver Metallic - Toyota (PT83K-08210-07)",173.41,Toyota,Sien Bsm 1J9 Silver,"Body side moldings help protect against careless door swings, runaway shopping carts, and other parking lot mishaps while adding a little extra exterior style.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/94603f7caed56d9435c83e5701fa3677.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,120,5,1200,0.5,null,Sienna moldura lateral 1J9 plata,Las molduras laterales protegen contra golpes accidentales y están pintadas para combinar con el acabado exterior del vehículo.,null,null,null,"Molduras laterales, plata metálica Celestial",body-side-molding-celestial-silver-metallic-toyota-pt83k-08210-07-pt83k0821007
PT29A3524004,Body Side Molding - Solar Octane - Toyota (PT29A-35240-04),173.41,Toyota,Taco Bsm 4W5 Orange,"Body side moldings help protect against careless door swings, runaway shopping carts and other parking lot mishaps while adding a little extra exterior style. Color-matched to the exterior paint finish.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/1185a2b2b5793421e907c9a7db66abd1.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,120,5,6000,1.2,null,Tacoma moldura lateral 4W5 naranja,"Los molduras laterales del cuerpo ayudan a proteger contra golpes de puertas, carritos de supermercado y otros percances, mientras añaden un toque de estilo extra. Están pintadas a juego con el color exterior del vehículo.",null,null,null,"Moldura lateral, naranja Solar Octane",body-side-molding-solar-octane-toyota-pt29a-35240-04-pt29a3524004
PT83K0821006,"Body Side Molding, Gray Metallic - Toyota (PT83K-08210-06)",173.41,Toyota,Sien Bsm 1H1 Gray,"Body side moldings help protect against careless door swings, runaway shopping carts, and other parking lot mishaps while adding a little extra exterior style.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/0d99ec4f14b4ad8ebbc252076a0aa2bc.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,120,5,1200,0.5,null,Sienna moldura lateral 1H1 gris,Las molduras laterales protegen contra golpes accidentales y están pintadas para combinar con el acabado exterior del vehículo.,null,null,null,"Molduras laterales, gris metálico",body-side-molding-gray-metallic-toyota-pt83k-08210-06-pt83k0821006
PT29A3524002,Body Side Molding - Toyota (PT29A-35240-02),173.41,Toyota,Taco Bsm 202 Black,"Body side moldings help protect against careless door swings, runaway shopping carts and other parking lot mishaps while adding a little extra exterior styleColor-matched to the exterior paint finish.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/71196734082571bfeff28a3322d0a746.webp,https://s3.amazonaws.com/rp-part-images/assets/82f1760864c6c855dae68baa63899625.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,120,5,6000,1.2,null,Tacoma moldura lateral 202 negro,"Los molduras laterales del cuerpo ayudan a proteger contra golpes de puertas, carritos de supermercado y otros percances, mientras añaden un toque de estilo extra. Están pintadas a juego con el color exterior del vehículo.",null,null,null,Moldura lateral,body-side-molding-toyota-pt29a-35240-02-pt29a3524002
PT29A3524003,Body Side Molding - Supersonic Red - Toyota (PT29A-35240-03),173.41,Toyota,Taco Bsm 3U5 Red,"Body side moldings help protect against careless door swings, runaway shopping carts and other parking lot mishaps while adding a little extra exterior style. Color-matched to the exterior paint finish..",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/2216b983e34cf573b6b82d6ce1018d0e.webp,https://s3.amazonaws.com/rp-part-images/assets/f8a60d035725a137313ab28a7fb052db.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,120,5,6000,1.2,null,Tacoma moldura lateral 3U5 rojo,"Los molduras laterales del cuerpo ayudan a proteger contra golpes de puertas, carritos de supermercado y otros percances, mientras añaden un toque de estilo extra. Están pintadas a juego con el color exterior del vehículo.",null,null,null,"Moldura lateral, rojo supersónico",body-side-molding-supersonic-red-toyota-pt29a-35240-03-pt29a3524003
PT29A3524011,Body Side Molding - Toyota (PT29A-35240-11),173.41,Toyota,Taco Bsm 1L7 Gray,"Body side moldings help protect against careless door swings, runaway shopping carts and other parking lot mishaps while adding a little extra exterior styleColor-matched to the exterior paint finish.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/4863bd2cc53b80e87fd31a61b1f368ae.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,120,5,6000,1.2,null,Tacoma moldura lateral 1L7 gris,"Los molduras laterales del cuerpo ayudan a proteger contra golpes de puertas, carritos de supermercado y otros percances, mientras añaden un toque de estilo extra. Están pintadas a juego con el color exterior del vehículo.",null,null,null,Moldura lateral,body-side-molding-toyota-pt29a-35240-11-pt29a3524011
PT83K0821000,"Body Side Molding, Sunset Bronze Mica - Toyota (PT83K-08210-00)",173.41,Toyota,Sien Bsm 4U3 Brown,"Body side moldings help protect against careless door swings, runaway shopping carts, and other parking lot mishaps while adding a little extra exterior style.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/6ecd83f0ae04624980878a2ef12d3b88.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,120,5,1200,0.5,null,Sienna moldura lateral 4U3 marrón,"Los molduras laterales protegen contra golpes de puertas y carritos de compras, añadiendo estilo adicional al exterior.",null,null,null,"Molduras laterales, Sunset Bronze Mica",body-side-molding-sunset-bronze-mica-toyota-pt83k-08210-00-pt83k0821000
PT83K0821001,"Body Side Molding, Ruby Flare Pearl - Toyota (PT83K-08210-01)",173.41,Toyota,Door Molding,"Body side moldings help protect against careless door swings, runaway shopping carts, and other parking lot mishaps while adding a little extra exterior style.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/524eb9f307363d3a4b7ae7a639b2ebae.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,120,5,1200,0.5,null,Moldura de puerta,Las molduras laterales protegen contra golpes accidentales y están pintadas para combinar con el acabado exterior del vehículo.,null,null,null,"Molduras laterales, Ruby Flare Pearl",body-side-molding-ruby-flare-pearl-toyota-pt83k-08210-01-pt83k0821001
PT83K0821008,"Body Side Molding, Midnight Black - Toyota (PT83K-08210-08)",173.41,Toyota,Sien Bsm 218 Black,"Body side moldings help protect against careless door swings, runaway shopping carts, and other parking lot mishaps while adding a little extra exterior style.",null,null,null,null,null,null,null,https://s3.amazonaws.com/rp-part-images/assets/a4840af82cfc7d9e6fdb80459102e47e.webp,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,120,5,1200,0.5,null,Sienna moldura lateral 218 negro,Las molduras laterales protegen contra golpes accidentales y están pintadas para combinar con el acabado exterior del vehículo.,null,null,null,"Molduras laterales, negro medianoche",body-side-molding-midnight-black-toyota-pt83k-08210-08-pt83k0821008
